"日付け","終値","始値","高値","安値","出来高","前日比%"
"2008年08月20日","50,300.0","48,300.0","50,700.0","48,300.0","19.30K","3.29%"
"2008年08月19日","48,700.0","49,800.0","49,850.0","48,550.0","35.20K","-3.94%"
"2008年08月18日","50,700.0","51,500.0","51,500.0","50,300.0","27.20K","-2.12%"
"2008年08月15日","51,800.0","52,700.0","52,700.0","51,400.0","17.70K","-0.77%"
"2008年08月14日","52,200.0","53,600.0","53,800.0","52,100.0","26.30K","-3.33%"
"2008年08月13日","54,000.0","54,600.0","54,900.0","53,700.0","18.40K","-1.64%"
"2008年08月12日","54,900.0","54,000.0","54,900.0","54,000.0","18.50K","2.62%"
"2008年08月11日","53,500.0","54,000.0","54,000.0","53,200.0","10.90K","0.56%"
"2008年08月08日","53,200.0","53,200.0","53,800.0","53,000.0","10.60K","-1.12%"
"2008年08月07日","53,800.0","54,600.0","54,600.0","53,500.0","21.70K","-0.19%"
"2008年08月06日","53,900.0","53,200.0","54,100.0","53,200.0","24.00K","2.28%"
"2008年08月05日","52,700.0","51,900.0","53,200.0","51,900.0","21.10K","2.13%"
"2008年08月04日","51,600.0","52,500.0","52,600.0","50,700.0","30.10K","0.19%"
"2008年08月01日","51,500.0","52,300.0","52,400.0","50,100.0","30.00K","-2.46%"
"2008年07月31日","52,800.0","53,800.0","53,800.0","52,800.0","26.20K","-8.65%"
"2008年07月30日","57,800.0","56,600.0","57,800.0","56,600.0","24.80K","3.03%"
"2008年07月29日","56,100.0","54,800.0","56,300.0","54,800.0","23.20K","1.45%"
"2008年07月28日","55,300.0","54,500.0","55,500.0","54,500.0","16.00K","2.41%"
"2008年07月25日","54,000.0","54,600.0","54,800.0","53,800.0","21.80K","-2.88%"
"2008年07月24日","55,600.0","56,500.0","57,100.0","55,500.0","33.60K","-1.77%"
"2008年07月23日","56,600.0","56,300.0","57,300.0","56,100.0","30.60K","2.35%"
"2008年07月22日","55,300.0","54,400.0","55,300.0","53,500.0","22.90K","0.73%"
"2008年07月18日","54,900.0","56,400.0","56,400.0","54,700.0","16.00K","-1.44%"
"2008年07月17日","55,700.0","56,300.0","57,100.0","55,600.0","27.70K","-0.71%"
"2008年07月16日","56,100.0","58,100.0","58,100.0","55,900.0","25.10K","-4.27%"
"2008年07月15日","58,600.0","58,500.0","59,000.0","58,200.0","11.10K","-0.51%"
"2008年07月14日","58,900.0","57,800.0","59,800.0","57,800.0","18.30K","1.38%"
"2008年07月11日","58,100.0","57,600.0","58,800.0","57,000.0","32.90K","0.87%"
"2008年07月10日","57,600.0","58,000.0","58,500.0","57,500.0","19.30K","-1.54%"
"2008年07月09日","58,500.0","60,400.0","60,400.0","58,400.0","33.40K","-1.52%"
"2008年07月08日","59,400.0","60,900.0","61,200.0","59,300.0","24.10K","-3.10%"
"2008年07月07日","61,300.0","60,800.0","61,400.0","60,500.0","9.80K","0.00%"
"2008年07月04日","61,300.0","61,500.0","61,500.0","60,700.0","27.30K","0.16%"
"2008年07月03日","61,200.0","60,500.0","61,500.0","59,900.0","26.80K","0.66%"
"2008年07月02日","60,800.0","60,300.0","61,400.0","59,600.0","32.70K","1.33%"
"2008年07月01日","60,000.0","59,800.0","60,800.0","59,700.0","14.20K","1.01%"
"2008年06月30日","59,400.0","60,900.0","60,900.0","59,300.0","8.90K","-1.98%"
"2008年06月27日","60,600.0","60,800.0","61,500.0","60,200.0","20.90K","-3.50%"
"2008年06月26日","62,800.0","61,600.0","63,800.0","61,500.0","26.30K","2.45%"
"2008年06月25日","61,300.0","60,700.0","61,600.0","60,300.0","16.10K","1.16%"
"2008年06月24日","60,600.0","59,300.0","60,600.0","59,300.0","8.90K","2.02%"
"2008年06月23日","59,400.0","58,500.0","59,500.0","58,500.0","16.40K","0.34%"
"2008年06月20日","59,200.0","60,200.0","60,300.0","59,100.0","22.90K","-1.17%"
